,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2018-11-06,N,Kentucky,W,118,84,142.2,101.2,83.8,.367,.329,.636,53.5,51.2,12.0,7.1,,.620,4.1,35.1,.253,,.475,16.3,73.5,.475
2,2018-11-11,,Army,W,94,72,117.5,90.0,80.3,.181,.500,.601,57.3,68.6,10.0,19.1,,.590,12.3,30.8,.125,,.436,10.9,81.4,.051
3,2018-11-14,,Eastern Michigan,W,84,46,113.5,62.2,73.5,.208,.312,.496,59.8,63.9,18.9,22.0,,.500,11.5,50.0,.091,,.331,19.7,68.9,.015
4,2018-11-19,N,San Diego State,W,90,64,121.6,86.5,74.0,.596,.439,.615,59.4,41.4,9.5,12.5,,.596,17.0,37.1,.386,,.415,16.5,82.4,.377
5,2018-11-20,N,Auburn,W,78,72,109.9,101.4,71.2,.630,.463,.556,53.0,50.0,8.5,24.4,,.509,14.6,37.1,.426,,.435,10.0,64.6,.065
6,2018-11-21,N,Gonzaga,L,87,89,116.0,118.7,74.7,.361,.181,.516,55.7,29.0,6.7,13.0,,.465,10.6,45.9,.278,,.600,10.8,66.7,.169
7,2018-11-27,,Indiana,W,90,69,109.8,84.1,81.8,.460,.317,.586,51.5,48.5,13.4,20.8,,.579,15.4,34.4,.270,,.430,20.9,66.7,.219
8,2018-12-01,,Stetson,W,113,49,136.1,59.0,83.4,.231,.436,.653,64.6,64.4,22.9,12.8,,.654,16.4,54.3,.141,,.339,27.6,72.7,.113
9,2018-12-05,,Hartford,W,84,54,110.5,71.1,75.7,.188,.377,.559,59.7,51.4,19.7,29.4,,.543,14.7,41.2,.130,,.393,24.3,76.3,.098
10,2018-12-08,,Yale,W,91,58,108.3,69.0,84.0,.463,.313,.557,54.3,60.6,19.0,14.3,,.530,15.5,31.7,.299,,.377,24.7,77.5,.138
11,2018-12-18,,Princeton,W,101,50,131.2,64.9,76.9,.373,.388,.640,70.8,65.7,15.6,50.0,,.597,12.2,48.4,.313,,.369,22.0,91.2,.082
12,2018-12-20,N,Texas Tech,W,69,58,85.2,71.6,81.0,.417,.333,.480,51.5,47.8,18.5,17.1,,.408,20.9,25.0,.333,,.430,26.7,81.3,.158
13,2019-01-05,,Clemson,W,87,68,114.5,89.5,76.3,.313,.343,.565,52.7,50.0,17.1,12.5,,.530,13.5,31.6,.239,,.476,18.9,75.0,.127
