,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2018-11-06,,Sewanee,W,97,53,121.3,66.3,80.4,.373,.463,.615,60.6,63.9,25.0,0.0,,.597,15.1,35.3,.254,,.448,31.0,87.5,.208
2,2018-11-10,,Tennessee State,W,86,79,102.4,94.0,84.5,.544,.246,.600,56.5,32.1,8.3,12.8,,.518,20.1,19.4,.474,,.486,15.5,86.8,.157
3,2018-11-15,,Belmont,L,83,87,97.6,102.4,85.0,.413,.333,.551,43.8,57.1,11.8,7.5,,.508,15.7,11.4,.302,,.621,22.3,82.8,.161
4,2018-11-17,@,SMU,W,79,73,102.6,94.8,76.3,.509,.491,.600,47.1,84.0,6.5,2.6,,.547,20.5,17.9,.396,,.484,18.1,67.5,.190
5,2018-11-20,@,TCU,W,73,64,100.0,87.7,73.1,.421,.368,.534,41.3,65.4,6.8,6.9,,.491,12.8,8.8,.298,,.500,19.5,79.3,.280
6,2018-11-25,@,Morehead State,W,87,55,114.5,72.4,75.7,.203,.435,.575,50.7,65.6,11.8,7.5,,.551,11.7,25.7,.159,,.379,21.5,75.0,.129
7,2018-12-01,@,Middle Tennessee,W,84,74,118.3,104.2,70.3,.509,.456,.593,44.3,55.6,9.9,8.6,,.544,11.3,30.3,.386,,.518,20.6,60.7,.263
8,2018-12-04,@,Belmont,L,74,76,93.7,96.2,78.8,.206,.382,.496,53.4,39.3,6.3,10.5,,.463,14.8,21.1,.162,,.529,13.4,88.6,.059
9,2018-12-09,,Navy,W,107,81,146.6,111.0,72.6,.441,.356,.750,54.7,65.8,9.6,7.4,,.729,11.2,29.2,.356,,.530,19.0,75.9,.560
10,2018-12-12,@,Louisville,L,68,72,89.5,94.7,75.5,.277,.385,.462,41.8,73.9,10.5,10.5,,.423,13.0,21.4,.200,,.443,19.2,64.9,.295
11,2018-12-17,,Covenant,W,119,48,141.7,57.1,83.7,.247,.351,.692,73.0,65.2,11.9,4.5,,.675,13.1,45.2,.195,,.377,26.9,93.0,.033
