,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2018-11-06,N,Kansas,L,87,92,100.0,105.7,85.8,.593,.390,.575,50.0,73.1,5.7,15.2,,.542,19.2,16.1,.390,,.522,11.5,74.4,.290
2,2018-11-11,,Florida Gulf Coast,W,106,82,127.7,98.8,83.4,.299,.299,.603,67.6,80.5,12.0,14.0,,.584,14.6,52.8,.208,,.516,15.8,82.9,.290
3,2018-11-14,,Louisiana-Monroe,W,80,59,111.1,81.9,71.7,.314,.414,.497,57.8,46.4,9.7,17.5,,.443,8.0,35.7,.257,,.347,10.1,80.5,.305
4,2018-11-18,,Tennessee Tech,W,101,33,142.3,46.5,70.9,.269,.493,.668,65.5,67.6,11.3,12.2,,.657,9.6,40.7,.194,,.304,24.6,87.1,.039
5,2018-11-22,N,UCLA,W,87,67,117.6,90.5,74.4,.290,.387,.617,54.5,62.5,1.4,11.9,,.621,14.5,25.8,.161,,.398,11.1,80.0,.339
6,2018-11-23,N,Texas,W,78,68,106.8,93.2,72.8,.353,.392,.655,64.9,65.4,5.5,10.0,,.627,27.0,43.5,.275,,.414,9.9,79.4,.234
7,2018-11-27,@,Louisville,L (1 OT),78,82,100.0,105.1,69.5,.390,.339,.558,61.6,53.6,6.4,12.5,,.542,17.7,25.7,.237,,.491,12.1,94.7,.566
8,2018-11-30,@,Rutgers,W,78,67,118.2,101.5,66.2,.431,.276,.558,53.6,40.7,7.6,7.7,,.509,9.1,37.5,.328,,.431,8.8,67.6,.169
9,2018-12-03,,Iowa,W,90,68,125.0,94.4,72.2,.533,.200,.598,56.5,90.3,9.7,14.3,,.542,9.6,44.8,.417,,.375,11.3,65.0,.313
10,2018-12-08,@,Florida,W,63,59,101.6,95.2,62.1,.157,.294,.575,52.5,53.8,8.1,7.7,,.549,19.2,34.8,.137,,.413,11.6,63.2,.111
11,2018-12-16,,Green Bay,W,104,83,119.5,95.4,86.7,.347,.373,.595,64.6,81.6,8.0,25.5,,.580,13.8,35.0,.227,,.486,9.0,92.9,.149
12,2018-12-21,,Oakland,W,99,69,139.4,97.2,71.3,.185,.462,.700,56.9,71.1,9.9,14.3,,.685,9.0,26.9,.154,,.500,14.9,76.9,.062
13,2018-12-29,,Northern Illinois,W,88,60,118.9,81.1,74.4,.404,.509,.648,55.1,86.2,2.7,13.5,,.632,17.1,26.7,.281,,.373,10.3,72.9,.053
14,2019-01-02,,Northwestern,W,81,55,114.1,77.5,71.4,.259,.207,.622,68.7,82.4,5.6,15.2,,.629,16.6,33.3,.138,,.367,10.3,88.4,.125
15,2019-01-05,@,Ohio State,W,86,77,124.6,111.6,69.3,.804,.391,.676,58.1,56.0,5.8,10.8,,.609,15.9,25.0,.652,,.492,6.5,78.9,.258
16,2019-01-08,,Purdue,W,77,59,116.7,89.4,65.7,.328,.466,.574,54.8,76.9,7.6,21.2,,.526,16.2,48.3,.276,,.367,10.8,59.1,.188
17,2019-01-13,@,Penn State,W,71,56,102.9,81.2,69.4,.373,.392,.591,59.0,76.0,7.2,13.2,,.569,22.1,33.3,.255,,.408,16.7,79.4,.117
18,2019-01-17,@,Nebraska,W,70,64,100.0,91.4,70.3,.327,.364,.551,58.3,54.2,7.1,9.8,,.491,18.1,35.7,.291,,.366,10.6,72.7,.224
19,2019-01-21,,Maryland,W,69,55,109.5,87.3,63.3,.180,.426,.521,49.3,75.0,14.3,25.7,,.508,10.8,31.4,.115,,.418,15.7,65.8,.066
20,2019-01-24,@,Iowa,W,82,67,122.4,100.0,67.4,.412,.373,.672,64.1,59.3,4.5,4.3,,.608,20.8,45.8,.392,,.421,6.3,75.0,.114
21,2019-01-27,@,Purdue,L,63,73,95.5,110.6,66.1,.268,.464,.499,46.4,54.5,12.1,25.0,,.473,16.0,27.3,.179,,.469,10.1,63.9,.203
22,2019-02-02,,Indiana,L (1 OT),75,79,100.0,105.3,66.9,.344,.328,.504,45.5,79.3,9.3,26.9,,.523,11.8,30.0,.125,,.458,12.0,62.2,.181
23,2019-02-05,@,Illinois,L,74,79,102.8,109.7,72.2,.581,.442,.674,56.0,68.2,8.3,2.9,,.593,30.4,35.0,.535,,.526,16.0,70.0,.310
24,2019-02-09,,Minnesota,W,79,55,119.7,83.3,65.8,.267,.250,.584,56.1,87.1,9.1,5.7,,.567,10.6,30.3,.183,,.418,16.7,81.8,.286
25,2019-02-12,@,Wisconsin,W,67,59,100.0,88.1,67.0,.193,.386,.538,58.5,44.0,7.5,19.4,,.518,17.3,26.7,.140,,.482,13.9,85.7,.089
26,2019-02-17,,Ohio State,W,62,44,93.9,66.7,66.0,.218,.473,.511,52.1,81.0,10.6,19.5,,.473,14.1,20.6,.182,,.357,19.9,81.1,.071
27,2019-02-20,,Rutgers,W,71,60,107.6,90.9,65.8,.400,.364,.542,60.9,63.6,6.1,2.6,,.464,17.6,43.8,.364,,.440,12.0,75.7,.155
28,2019-02-24,@,Michigan,W,77,70,120.3,109.4,63.9,.625,.417,.618,52.5,62.5,7.8,9.4,,.552,8.8,26.9,.500,,.457,10.6,72.7,.293
29,2019-03-02,@,Indiana,L,62,63,101.6,103.3,61.3,.104,.313,.615,51.7,61.5,3.3,13.5,,.604,21.7,23.8,.083,,.451,10.6,67.6,.131
