,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2018-11-06,,Louisiana Tech,L,58,71,78.4,95.9,73.8,.481,.463,.437,40.3,60.0,10.8,14.7,,.435,18.4,22.9,.204,,.480,21.4,63.0,.460
2,2018-11-09,N,Providence,W,83,80,113.7,109.6,73.2,.317,.367,.601,51.7,63.3,11.0,12.9,,.600,18.8,44.4,.183,,.558,17.2,57.6,.217
3,2018-11-15,N,Davidson,L,53,57,77.9,83.8,67.7,.123,.462,.385,56.2,55.0,8.8,7.7,,.369,14.9,29.3,.077,,.433,15.8,90.6,.231
4,2018-11-16,N,Appalachian State,W,82,76,117.1,108.6,69.7,.288,.339,.611,56.7,50.0,8.6,9.7,,.585,14.1,34.5,.220,,.573,15.3,77.4,.236
5,2018-11-18,N,Alabama,L,86,90,122.9,128.6,69.8,.435,.371,.575,47.3,31.0,8.6,10.0,,.516,7.4,32.4,.355,,.602,14.5,71.4,.633
6,2018-11-25,,Rice,W,90,61,116.9,79.2,77.4,.469,.375,.575,51.5,70.0,7.8,6.3,,.523,10.3,24.2,.359,,.414,19.2,77.1,.224
7,2018-12-01,,Baylor,W,71,63,97.3,86.3,73.3,.258,.485,.479,54.1,50.0,8.2,7.5,,.470,15.9,35.3,.136,,.403,15.7,70.0,.210
8,2018-12-08,@,Oklahoma,L,48,80,64.9,108.1,73.8,.242,.435,.347,39.7,33.3,8.1,5.9,,.282,17.8,24.4,.210,,.525,20.6,60.6,.305
9,2018-12-12,,Jacksonville State,W,69,65,93.2,87.8,74.0,.149,.269,.481,58.9,41.4,5.4,8.3,,.470,16.3,35.1,.090,,.429,14.8,83.3,.175
