Game #,Away Team,Home Team,Point Diff,Home FG%,Home 2P%,Home 3P%,Home FT,Home FT%,Home TRB,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG%,Away 2P%,Away 3P%,Away FT,Away FT%,Away TRB,Away TOV,Away PF,Home PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,
11442,North Carolina-Asheville,Kentucky,32,.475,.521,.273,30,.625,46,7,20,89,.544,.500,.186,.814,48.6,73.7,61.3,11.4,13.6,8.0,127.1,81.4,.386,.432,.231,10,.476,29,13,32,57,.426,.412,.228,.368,26.3,51.4,38.7,1.4,6.3,16.4,81.4,127.1,
11443,McNeese State,Michigan State,42,.519,.582,.385,4,.800,64,15,12,98,.588,.580,.321,.062,47.1,87.3,71.9,4.9,10.3,15.3,121.0,69.1,.274,.282,.265,7,.636,25,8,9,56,.358,.336,.466,.151,12.7,52.9,28.1,12.3,5.5,9.3,69.1,121.0,
11444,Davidson,Duke,34,.704,.758,.619,22,.688,27,4,21,111,.802,.824,.389,.593,15.0,64.9,47.4,9.9,14.6,5.5,156.3,108.5,.419,.561,.143,22,.880,30,10,23,77,.521,.444,.339,.403,35.1,85.0,52.6,2.8,0.0,12.0,108.5,156.3,
11445,Louisiana-Monroe,Kansas,17,.535,.640,.389,27,.628,35,15,27,80,.631,.616,.419,1.000,28.6,87.1,59.3,12.7,12.8,19.5,112.7,88.7,.429,.462,.300,18,.621,24,13,31,63,.502,.459,.204,.592,12.9,71.4,40.7,5.6,0.0,17.4,88.7,112.7,
11446,Cal Poly,Arizona,11,.571,.613,.455,20,.556,33,11,15,73,.618,.631,.262,.857,36.0,75.0,57.9,6.5,25.0,16.0,117.7,100.0,.370,.321,.423,11,.846,24,10,26,62,.515,.472,.481,.241,25.0,64.0,42.1,6.5,0.0,14.3,100.0,117.7,
11447,Massachusetts-Lowell,Michigan,27,.377,.429,.278,24,.750,37,7,11,69,.506,.425,.340,.604,34.3,71.4,52.9,16.4,6.3,9.4,113.1,68.9,.286,.313,.235,10,.833,33,15,24,42,.384,.327,.347,.245,28.6,65.7,47.1,8.2,0.0,21.7,68.9,113.1,
11448,Cornell,Syracuse,22,.536,.556,.500,12,.667,36,14,13,82,.635,.625,.357,.321,42.3,80.6,63.2,17.6,27.3,18.0,120.6,88.2,.407,.545,.313,6,.750,21,16,16,60,.519,.500,.593,.148,19.4,57.7,36.8,5.9,8.3,21.8,88.2,120.6,
11449,Mississippi Valley State,Oklahoma State,55,.613,.634,.571,29,.707,41,13,29,117,.718,.710,.339,.661,34.4,75.0,56.9,14.3,8.6,14.0,139.3,73.8,.333,.400,.211,22,.579,31,22,31,62,.430,.370,.352,.704,25.0,65.6,43.1,9.5,2.4,23.7,73.8,139.3,
11450,North Florida,Florida,8,.444,.500,.200,27,.844,32,13,12,77,.556,.463,.185,.593,25.8,66.7,47.8,12.0,10.0,16.0,102.7,92.0,.406,.425,.375,8,.533,35,17,24,69,.485,.477,.375,.234,33.3,74.2,52.2,8.0,4.5,19.4,92.0,102.7,
11451,Oakland,North Carolina,23,.600,.667,.385,13,.650,40,17,17,84,.651,.645,.236,.364,37.5,83.8,65.6,13.9,6.7,21.0,116.7,84.7,.364,.400,.320,13,.722,21,14,19,61,.480,.436,.455,.327,16.2,62.5,34.4,13.9,0.0,18.2,84.7,116.7,
