Game #,Away Team,Home Team,Point Diff,Home FG%,Home 2P%,Home 3P%,Home FT,Home FT%,Home TRB,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG%,Away 2P%,Away 3P%,Away FT,Away FT%,Away TRB,Away TOV,Away PF,Home PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,
24811,Marist,Duke,45,.441,.478,.364,26,.703,55,10,21,94,.549,.500,.324,.544,41.0,88.6,66.3,11.1,17.5,10.6,116.0,60.5,.231,.300,.120,16,.842,28,14,22,49,.331,.254,.385,.292,11.4,59.0,33.7,6.2,0.0,16.0,60.5,116.0,
24812,Stephen F. Austin,Kentucky,23,.500,.591,.278,20,.667,24,13,19,87,.570,.540,.290,.484,33.3,55.6,44.4,15.2,24.2,14.7,110.1,81.0,.442,.545,.263,13,.684,30,28,32,64,.524,.490,.365,.365,44.4,66.7,55.6,7.6,11.4,31.7,81.0,110.1,
24813,Indiana,Kansas,-4,.437,.500,.304,30,.789,36,11,32,99,.556,.486,.324,.535,28.9,59.5,45.0,10.1,5.0,11.1,111.2,115.7,.437,.400,.484,26,.722,44,17,31,103,.585,.542,.437,.507,40.5,71.1,55.0,7.9,6.3,16.4,115.7,111.2,
24814,Lafayette,Villanova,40,.493,.692,.366,7,.583,50,8,14,88,.605,.604,.612,.179,29.0,91.1,65.8,10.7,12.1,10.0,117.3,64.0,.292,.394,.188,4,.571,26,13,15,48,.351,.338,.492,.108,8.9,71.0,34.2,4.0,0.0,16.0,64.0,117.3,
24815,Army,Oregon,14,.450,.514,.360,28,.824,39,17,23,91,.598,.525,.417,.567,40.0,79.4,60.9,2.4,31.0,18.5,111.0,93.9,.394,.405,.375,16,.696,25,13,27,77,.500,.462,.364,.348,20.6,60.0,39.1,3.7,0.0,14.6,93.9,111.0,
24816,North Carolina,Tulane,-20,.347,.310,.400,13,.684,33,11,21,75,.463,.431,.417,.264,28.9,55.6,40.7,6.4,8.2,12.0,96.2,121.8,.493,.510,.450,18,.720,48,13,20,95,.587,.558,.290,.362,44.4,71.1,59.3,9.0,4.8,14.0,121.8,96.2,
24817,Lehigh,Xavier,3,.516,.622,.235,16,.842,31,17,21,84,.591,.548,.274,.306,44.0,69.0,57.4,10.4,8.6,19.5,109.1,105.2,.500,.571,.391,14,.824,23,20,23,81,.613,.578,.397,.293,31.0,56.0,42.6,13.0,4.4,23.4,105.2,109.1,
24818,Virginia,North Carolina-Greensboro,-25,.370,.400,.333,10,.769,21,11,15,51,.489,.446,.457,.283,22.6,56.0,37.5,10.5,2.9,17.5,89.5,133.3,.520,.529,.500,16,.889,35,11,17,76,.649,.600,.320,.360,44.0,77.4,62.5,14.0,4.0,16.0,133.3,89.5,
24819,Central Arkansas,Wisconsin,32,.472,.583,.379,18,.783,41,11,17,79,.618,.575,.547,.434,42.9,72.5,60.3,9.7,16.2,14.8,127.4,75.8,.283,.243,.375,11,.611,27,11,18,47,.382,.340,.302,.340,27.5,57.1,39.7,9.7,12.5,15.3,75.8,127.4,
24820,Arizona,Michigan State,-2,.431,.515,.320,5,.556,28,17,23,63,.506,.500,.431,.155,34.5,72.0,51.9,5.6,2.6,21.5,88.7,91.5,.385,.395,.357,20,.741,26,14,20,65,.501,.433,.269,.519,28.0,65.5,48.1,16.9,6.1,18.0,91.5,88.7,
