,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2018-11-07,,Bethune-Cookman,W,80,58,117.6,85.3,68.2,.526,.421,.561,53.8,52.0,8.8,9.4,,.509,15.4,50.0,.386,,.419,17.0,57.1,.097
2,2018-11-12,,Morgan State,W,91,63,116.7,80.8,78.3,.176,.412,.617,68.2,62.9,7.7,5.6,,.603,18.7,43.3,.132,,.417,14.5,88.9,.217
3,2018-11-15,,Penn State,W (1 OT),72,70,91.1,88.6,70.5,.328,.344,.487,55.8,50.0,11.4,5.9,,.461,17.8,28.6,.203,,.469,18.3,78.6,.156
4,2018-11-24,@,Notre Dame,L,70,95,93.3,126.7,74.5,.279,.377,.507,44.1,46.2,8.0,3.0,,.484,15.8,20.5,.180,,.658,14.6,75.9,.267
5,2018-11-28,,Cleveland State,W,83,73,110.7,97.3,75.2,.482,.304,.603,59.4,64.5,10.7,23.3,,.598,16.9,27.6,.286,,.533,16.1,85.7,.131
6,2018-12-03,,Florida A&M,W,65,50,98.5,75.8,65.7,.509,.382,.476,58.1,55.0,7.6,9.4,,.400,13.9,34.3,.382,,.456,22.3,88.9,.200
7,2018-12-08,@,Northwestern,L,68,75,97.1,107.1,69.8,.222,.349,.488,48.5,55.6,8.6,4.2,,.468,11.4,22.9,.143,,.518,13.2,77.4,.327
8,2018-12-12,,Chicago State,W,104,70,130.0,87.5,79.7,.406,.438,.681,54.0,68.6,15.0,10.0,,.633,14.5,28.6,.359,,.443,20.7,74.3,.262
9,2018-12-14,,UIC,W,90,70,113.9,88.6,79.3,.393,.426,.622,59.7,46.9,12.7,11.1,,.623,16.2,27.3,.230,,.526,23.8,91.2,.155
10,2018-12-19,,Incarnate Word,W,81,71,120.9,106.0,66.6,.458,.354,.693,54.7,43.3,11.9,6.9,,.698,19.3,22.7,.292,,.574,17.9,77.4,.167
