,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2018-11-07,@,Eastern Kentucky,W,105,77,111.7,81.9,93.7,.421,.303,.576,51.6,50.0,6.4,7.5,,.553,14.9,34.2,.276,,.344,14.9,63.2,.275
2,2018-11-11,,Hofstra,W,76,72,101.3,96.0,74.8,.226,.387,.554,44.6,44.8,13.3,9.8,,.524,16.9,27.3,.177,,.492,21.6,62.5,.217
3,2018-11-14,,Mount St. Mary's,W,98,75,119.5,91.5,82.3,.192,.616,.615,43.5,75.7,14.6,5.6,,.637,10.2,15.4,.068,,.593,27.3,80.0,.204
4,2018-11-19,,North Carolina A&T,W,95,71,120.3,89.9,79.0,.300,.486,.594,50.7,64.7,17.7,7.9,,.579,12.1,32.4,.200,,.482,25.3,73.3,.327
5,2018-11-23,@,Maryland,L,67,104,77.9,120.9,86.4,.192,.425,.421,32.4,52.0,12.8,13.3,,.397,17.6,19.1,.123,,.648,19.6,55.6,.410
6,2018-11-28,,William & Mary,W,84,64,115.1,87.7,73.0,.323,.355,.587,50.8,36.7,13.7,12.9,,.540,10.1,23.3,.274,,.510,23.9,79.3,.212
7,2018-12-01,@,Ohio,L,84,101,94.4,113.5,88.6,.368,.397,.526,35.1,36.7,12.4,9.4,,.500,15.8,15.0,.235,,.579,18.6,58.8,.286
8,2018-12-05,@,Duquesne,L,82,93,103.8,117.7,78.8,.410,.328,.563,46.8,53.6,10.1,5.1,,.533,18.9,32.4,.279,,.640,19.4,68.0,.351
9,2018-12-08,,Toledo,L (1 OT),74,75,91.4,92.6,72.3,.273,.364,.496,48.1,43.3,12.3,21.1,,.500,15.8,25.0,.121,,.431,16.5,67.4,.181
10,2018-12-10,,Morehead State,W,76,64,97.4,82.1,78.0,.288,.525,.567,48.6,61.5,10.3,28.2,,.534,20.2,21.9,.220,,.404,22.3,71.1,.316
11,2018-12-15,@,Akron,W,75,74,107.1,105.7,70.5,.143,.413,.557,59.3,48.1,11.4,7.1,,.524,19.2,41.9,.143,,.563,19.6,78.6,.196
12,2018-12-22,@,Texas A&M,L,68,92,89.5,121.1,76.1,.211,.493,.435,35.8,56.0,7.9,12.7,,.423,11.3,24.5,.113,,.568,16.5,53.1,.258
13,2018-12-31,@,Virginia,L,64,100,84.2,131.6,76.1,.404,.386,.471,32.3,25.0,14.5,11.4,,.404,16.1,14.3,.316,,.629,17.7,53.3,.355
14,2019-01-03,@,Old Dominion,W,70,67,114.8,109.8,60.8,.073,.455,.615,44.4,62.1,8.2,13.3,,.609,9.5,17.4,.055,,.500,13.6,64.5,.155
