,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2018-11-06,,Alabama A&M,W,80,63,111.1,87.5,72.1,.340,.396,.650,56.9,66.7,15.3,14.8,,.651,24.5,39.1,.208,,.510,26.4,71.4,.192
2,2018-11-12,,Austin Peay,W (1 OT),74,70,91.4,86.4,72.3,.707,.362,.478,52.4,45.8,13.6,15.4,,.457,18.9,31.8,.362,,.391,20.0,76.3,.491
3,2018-11-16,N,Ohio,W,73,46,94.8,59.7,77.7,.473,.400,.542,52.9,66.7,14.3,6.7,,.491,20.2,17.2,.345,,.309,23.9,78.0,.218
4,2018-11-18,N,Georgetown,L (1 OT),73,76,92.4,96.2,70.5,.409,.379,.463,50.7,58.3,7.6,7.5,,.432,13.2,28.6,.242,,.474,17.5,80.6,.362
5,2018-11-21,,Florida A&M,W,69,59,104.5,89.4,65.7,.508,.288,.471,58.1,73.9,10.6,7.4,,.424,12.0,38.9,.322,,.591,21.2,84.6,.159
6,2018-11-24,,Citadel,L,81,84,109.5,113.5,74.3,.371,.419,.555,55.2,57.1,8.1,8.0,,.508,15.1,37.5,.290,,.623,18.6,76.9,.131
7,2018-11-28,,Stetson,W,75,71,107.1,101.4,69.7,.589,.321,.523,59.4,70.8,12.9,13.5,,.482,15.4,45.5,.375,,.553,18.0,74.2,.140
8,2018-11-30,,Colgate,W,73,63,102.8,88.7,70.9,.702,.319,.582,47.1,40.9,15.5,19.0,,.521,17.2,24.0,.511,,.500,25.0,69.2,.235
9,2018-12-15,,Appalachian State,W,76,69,102.7,93.2,74.4,.452,.242,.505,60.3,48.1,10.8,5.9,,.484,17.5,41.0,.258,,.438,15.1,82.4,.357
10,2018-12-18,@,Florida International,W,82,73,96.5,85.9,85.4,.804,.304,.645,60.7,52.0,17.6,10.0,,.652,33.5,41.7,.478,,.443,25.8,75.0,.491
11,2018-12-21,,Alcorn State,W,83,44,116.9,62.0,70.5,.261,.348,.535,63.0,65.6,15.5,6.1,,.522,15.3,54.1,.159,,.354,26.4,72.2,.208
12,2018-12-29,,Fairleigh Dickinson,W,60,54,93.8,84.4,64.3,.600,.340,.467,68.3,47.4,9.4,18.9,,.430,18.9,51.6,.340,,.439,15.6,84.4,.070
13,2019-01-02,,UConn,W,76,68,100.0,89.5,75.6,.958,.313,.544,61.5,38.1,10.5,18.8,,.490,21.4,36.7,.604,,.444,15.1,82.9,.370
14,2019-01-05,@,Tulsa,L,75,78,102.7,106.8,72.5,.328,.358,.484,56.9,34.5,13.7,7.7,,.478,11.4,40.0,.164,,.545,20.6,84.0,.682
15,2019-01-09,,Tulane,W,66,48,89.2,64.9,73.5,.434,.396,.516,44.8,65.2,16.2,13.0,,.481,19.0,12.9,.283,,.443,33.7,81.5,.205
16,2019-01-12,@,Temple,L (1 OT),80,82,94.1,96.5,75.2,.391,.391,.527,52.4,66.7,20.0,3.3,,.547,20.0,26.3,.156,,.578,25.5,92.0,.451
17,2019-01-15,@,Cincinnati,L,74,82,104.2,115.5,70.8,.531,.367,.603,50.0,56.5,5.6,6.1,,.531,24.6,39.1,.449,,.520,13.1,63.2,.569
18,2019-01-19,,Houston,L,60,69,85.7,98.6,70.1,.932,.477,.473,47.5,42.9,5.7,5.9,,.375,22.1,30.0,.614,,.436,19.1,64.5,.596
19,2019-01-22,,Wichita State,W,54,41,81.8,62.1,65.9,.480,.380,.440,47.3,53.3,9.1,14.3,,.360,19.6,33.3,.360,,.302,23.0,60.5,.170
20,2019-01-26,@,East Carolina,W,77,57,116.7,86.4,65.8,.292,.292,.520,55.7,58.6,13.6,6.3,,.500,7.5,41.7,.185,,.443,20.9,70.6,.189
